Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm,TF,UT,SN,Copy,DLD_count,DE_count,Requested
6874,"Fan, Zhaosheng; Jastrow, Julie D.; Liang, Chao; Matamala, Roser; Miller, Raymond Michael",Priming Effects in Boreal Black Spruce Forest Soils: Quantitative Evaluation and Sensitivity Analysis,PLOS ONE,8,10,,,2013,,0,,,10.1371/journal.pone.0077880,N,3,,,,WOS:000326334500072,1932-6203,,2766,2716,
6875,"Fan, Zhaosheng; McGuire, Anthony David; Turetsky, Merritt R.; Harden, Jennifer W.; Waddington, James Michael; Kane, Evan S.",The response of soil organic carbon of a rich fen peatland in interior Alaska to projected climate change,GLOBAL CHANGE BIOLOGY,19,2,604,620,2013,,4,,,10.1111/gcb.12041,N,3,,,,WOS:000314219200024,1354-1013,,2766,2716,
6876,"Fang, Y.; Huang, M.; Liu, C.; Li, H.; Leung, L. R.","A generic biogeochemical module for Earth system models: Next Generation BioGeoChemical Module (NGBGC), version 1.0",GEOSCIENTIFIC MODEL DEVELOPMENT,6,6,1977,1988,2013,,0,N,Y,10.5194/gmd-6-1977-2013,N,2,,,,WOS:000329050500008,1991-959X,,2767,2717,
6877,"Fangueiro, David; Surgy, Sonia; Coutinho, Joao; Vasconcelos, Ernesto",Impact of cattle slurry acidification on carbon and nitrogen dynamics during storage and after soil incorporation,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,176,4,540,550,2013,,1,,,10.1002/jpln.201200117,N,3,,,,WOS:000329220900009,1436-8730,,2767,2717,
6878,"Fassbinder, Joel J.; Schultz, Natalie M.; Baker, John M.; Griffis, Timothy J.","Automated, Low-Power Chamber System for Measuring Nitrous Oxide Emissions",JOURNAL OF ENVIRONMENTAL QUALITY,42,2,606,614,2013,,3,,,10.2134/jeq2012.0283,N,4,,,,WOS:000315942600033,0047-2425,,2767,2717,
6879,"Fellows, Aaron W.; Goulden, Michael L.",Controls on gross production by a semiarid forest growing near its warm and dry ecotonal limit,AGRICULTURAL AND FOREST METEOROLOGY,169,,51,60,2013,,1,N,Y,10.1016/j.agrformet.2012.10.001,N,2,,,,WOS:000314087400005,0168-1923,,2768,2718,
6880,"Fender, Ann-Catrin; Gansert, Dirk; Jungkunst, Hermann F.; Fiedler, Sabine; Beyer, Friderike; Schuetzenmeister, Klaus; Thiele, Bjoern; Valtanen, Kerttu; Polle, Andrea; Leuschner, Christoph","Root-induced tree species effects on the source/sink strength for greenhouse gases (CH4, N2O and CO2) of a temperate deciduous forest soil",SOIL BIOLOGY & BIOCHEMISTRY,57,,587,597,2013,,4,,,10.1016/j.soilbio.2012.08.004,N,4,,,,WOS:000317247100067,0038-0717,,2768,2718,
6881,"Fender, Ann-Catrin; Leuschner, Christoph; Schuetzenmeister, Klaus; Gansert, Dirk; Jungkunst, Hermann F.","Rhizosphere effects of tree species - Large reduction of N2O emission by saplings of ash, but not of beech, in temperate forest soil",EUROPEAN JOURNAL OF SOIL BIOLOGY,54,,7,15,2013,,0,,,10.1016/j.ejsobi.2012.10.010,N,3,,,,WOS:000313540600002,1164-5563,,2768,2718,
6882,"Feng, Wei; Zhang, Yu-qing; Wu, Bin; Zha, Tian-shan; Jia, Xin; Qin, Shu-gao; Shao, Chen-xi; Liu, Jia-bin; Lai, Zong-rui; Fa, Ke-yu",Influence of Disturbance on Soil Respiration in Biologically Crusted Soil during the Dry Season,SCIENTIFIC WORLD JOURNAL,,,,,2013,,1,N,Y,10.1155/2013/408560,N,2,,,,WOS:000329041400001,1537-744X,,2769,2719,
6883,"Feng, Wei; Zhang, Yu-qing; Wu, Bin; Zha, Tian-shan; Jia, Xin; Qin, Shu-gao; Shao, Chen-xi; Liu, Jia-bin; Lai, Zong-rui; Fa, Ke-yu",Influence of disturbance on soil respiration in biologically crusted soil during the dry season.,TheScientificWorldJournal,2013,,408560,408560,2013,,0,,,10.1155/2013/408560,N,3,,,,MEDLINE:24453845,,,2769,2719,
6884,"Fereidooni, Mitra; Raiesi, Fayez; Fallah, Seyfollah","Ecological restoration of soil respiration, microbial biomass and enzyme activities through broiler litter application in a calcareous soil cropped with silage maize",ECOLOGICAL ENGINEERING,58,,266,277,2013,,2,,,10.1016/j.ecoleng.2013.06.032,N,3,,,,WOS:000323610200035,0925-8574,,2769,2719,
6885,"Ferguson, Bruce G.; Diemont, Stewart A. W.; Alfaro-Arguello, Rigoberto; Martin, Jay F.; Nahed-Toral, Jose; Alvarez-Solis, David; Pinto-Ruiz, Rene","Sustainability of holistic and conventional cattle ranching in the seasonally dry tropics of Chiapas, Mexico",AGRICULTURAL SYSTEMS,120,,38,48,2013,,1,,,10.1016/j.agsy.2013.05.005,N,3,,,,WOS:000322938800005,0308-521X,,2769,2719,
6886,"Fernandes, Marcelo F.; Saxena, Jyotisna; Dick, Richard P.",Comparison of Whole-Cell Fatty Acid (MIDI) or Phospholipid Fatty Acid (PLFA) Extractants as Biomarkers to Profile Soil Microbial Communities,MICROBIAL ECOLOGY,66,1,145,157,2013,,1,,,10.1007/s00248-013-0195-2,N,4,,,,WOS:000320048000015,0095-3628,,2769,2719,
6887,"Ferreira, Adao S.; Dos Santos, Maria Amelia; Correa, Gilberto F.",Soil microbial response to glucose and phosphorus addition under agricultural systems in the Brazilian Cerrado,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,85,1,395,403,2013,,1,,,,N,3,,,,WOS:000321393500033,0001-3765,,2769,2719,
6888,"Figueiredo, C. C.; Resck, D. V. S.; Carneiro, M. A. C.; Ramos, M. L. G.; Sa, J. C. M.",Stratification ratio of organic matter pools influenced by management systems in a weathered Oxisol from a tropical agro-ecoregion in Brazil,SOIL RESEARCH,51,2,133,141,2013,,0,,,10.1071/SR12186,N,3,,,,WOS:000318946000005,1838-675X,,2769,2719,
6889,"Finer, Leena; Jurgensen, Martin F.; Domisch, Timo; Kilpelainen, Jouni; Neuvonen, Seppo; Punttila, Pekka; Risch, Anita C.; Ohashi, Mizue; Niemela, Pekka",The Role of Wood Ants (Formica rufa group) in Carbon and Nutrient Dynamics of a Boreal Norway Spruce Forest Ecosystem,ECOSYSTEMS,16,2,196,208,2013,,0,,,10.1007/s10021-012-9608-1,N,3,,,,WOS:000315580200002,1432-9840,,2769,2719,
6890,"Fisher, Joshua B.; Malhi, Yadvinder; Cuba Torres, Israel; Metcalfe, Daniel B.; van de Weg, Martine J.; Meir, Patrick; Silva-Espejo, Javier E.; Huaraca Huasco, Walter","Nutrient limitation in rainforests and cloud forests along a 3,000-m elevation gradient in the Peruvian Andes",OECOLOGIA,172,3,889,902,2013,,14,N,Y,10.1007/s00442-012-2522-6,N,2,,,,WOS:000320409100024,0029-8549,,2770,2720,
6891,"Fissore, Cinzia; Giardina, Christian P.; Kolka, Randall K.",Reduced substrate supply limits the temperature response of soil organic carbon decomposition,SOIL BIOLOGY & BIOCHEMISTRY,67,,306,311,2013,,3,,,10.1016/j.soilbio.2013.09.007,N,4,,,,WOS:000327107700034,0038-0717,,2770,2720,
6892,"Flanagan, Lawrence B.; Sharp, Eric J.; Letts, Matthew G.",Response of plant biomass and soil respiration to experimental warming and precipitation manipulation in a Northern Great Plains grassland,AGRICULTURAL AND FOREST METEOROLOGY,173,,40,52,2013,,0,Y,Y,10.1016/j.agrformet.2013.01.002,N,2,,,,WOS:000317171200004,0168-1923,,2771,2721,
6893,"Fleischer, Siegfried; Bauhn, Lovisa; Fors, Patrik; Odegaard-Jensen, Arvid",Dark oxidation of water in soils,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,65,,,,2013,,0,,,10.3402/tellusb.v65i0.20490,N,4,,,,WOS:000328961400001,0280-6509,,2771,2721,
6894,"Fliessbach, Andreas; Nietlispach, Bruno; Messmer, Monika; Rodriguez-Romero, Ana-Sue; Maeder, Paul",Microbial response of soils with organic and conventional management history to the cultivation of Bacillus thuringiensis (Bt)-maize under climate chamber conditions,BIOLOGY AND FERTILITY OF SOILS,49,7,829,837,2013,,0,,,10.1007/s00374-013-0776-8,N,3,,,,WOS:000324327700005,0178-2762,,2771,2721,
6895,"Flower, Charles E.; Knight, Kathleen S.; Gonzalez-Meler, Miquel A.",Impacts of the emerald ash borer (Agrilus planipennis Fairmaire) induced ash (Fraxinus spp.) mortality on forest carbon cycling and successional dynamics in the eastern United States,BIOLOGICAL INVASIONS,15,4,931,944,2013,,4,,,10.1007/s10530-012-0341-7,N,3,,,,WOS:000316200700019,1387-3547,,2771,2721,
6896,"Forrester, Jodi A.; Mladenoff, David J.; Gower, Stith T.",Experimental Manipulation of Forest Structure: Near-Term Effects on Gap and Stand Scale C Dynamics,ECOSYSTEMS,16,8,1455,1472,2013,,4,Y,Y,10.1007/s10021-013-9695-7,N,2,,,,WOS:000327096100006,1432-9840,,2772,2722,
6897,"Foucault, Y.; Leveque, T.; Xiong, T.; Schreck, E.; Austruy, A.; Shahid, M.; Dumat, C.",Green manure plants for remediation of soils polluted by metals and metalloids: Ecotoxicity and human bioavailability assessment,CHEMOSPHERE,93,7,1430,1435,2013,,7,,,10.1016/j.chemosphere.2013.07.040,N,4,,,,WOS:000326858100024,0045-6535,,2772,2722,
6898,"Fox, Mark D.; Tackaberry, Linda E.; Drouin, Pascal; Bergeron, Yves; Bradley, Robert; Massicotte, Hugues B.; Chen, Han Y. H.",Microbial community structure of soils under four productivity classes of aspen forests in northern British Columbia,ECOSCIENCE,20,3,264,275,2013,,0,,,10.2980/20-3-3611,N,3,,,,WOS:000336785700006,1195-6860,,2772,2722,
6899,"Franke, Doreen; Bonnell, E. Jennifer; Ziegler, Susan E.",Mineralisation of dissolved organic matter by heterotrophic stream biofilm communities in a large boreal catchment,FRESHWATER BIOLOGY,58,10,2007,2026,2013,,4,,,10.1111/fwb.12187,N,3,,,,WOS:000323724600002,0046-5070,,2772,2722,
6900,"Fraser, Fiona C.; Hallett, Paul D.; Wookey, Philip A.; Hartley, Iain P.; Hopkins, David W.",How do enzymes catalysing soil nitrogen transformations respond to changing temperatures?,BIOLOGY AND FERTILITY OF SOILS,49,1,99,103,2013,,3,,,10.1007/s00374-012-0722-1,N,4,,,,WOS:000313070000012,0178-2762,,2772,2722,
6901,"Fraser, Trevor J.; Amiro, Brian D.",Initial carbon dynamics of perennial grassland conversion for annual cropping in Manitoba,CANADIAN JOURNAL OF SOIL SCIENCE,93,3,379,391,2013,,0,N,Y,10.4141/CISS2012-109,N,2,,,,WOS:000324791000010,0008-4271,,2773,2723,
6902,"Freedman, Zachary; Eisenlord, Sarah D.; Zak, Donald R.; Xue, Kai; He, Zhili; Zhou, Jizhong",Towards a molecular understanding of N cycling in northern hardwood forests under future rates of N deposition,SOIL BIOLOGY & BIOCHEMISTRY,66,,130,138,2013,,2,,,10.1016/j.soilbio.2013.07.010,N,3,,,,WOS:000325665400016,0038-0717,,2773,2723,
6903,"French, Shawn; Fakra, Sirine C.; Trevors, Jack T.; Glasauer, Susan","Changes in Shewanella putrefaciens CN32 Membrane Stability upon Growth in the Presence of Soluble Mn(II), V(IV), and U(VI)",GEOMICROBIOLOGY JOURNAL,30,3,245,254,2013,,1,,,10.1080/01490451.2012.665569,N,4,,,,WOS:000316049500007,0149-0451,,2773,2723,
6904,"Frey, Beat; Rieder, Stephan R.",Response of forest soil bacterial communities to mercury chloride application,SOIL BIOLOGY & BIOCHEMISTRY,65,,329,337,2013,,1,,,10.1016/j.soilbio.2013.06.001,N,4,,,,WOS:000323686800040,0038-0717,,2773,2723,
6905,"Frey, Serita D.; Lee, Juhwan; Melillo, Jerry M.; Six, Johan",The temperature response of soil microbial efficiency and its feedback to climate,NATURE CLIMATE CHANGE,3,4,395,398,2013,,37,,,10.1038/NCLIMATE1796,N,3,,,,WOS:000319400400023,1758-678X,,2773,2723,
6906,"Friedman, Elliot S.; Miller, Kimberley E.; Lipson, David A.; Angenent, Largus T.",Potentiostatically Poised Electrodes Mimic Iron Oxide and Interact with Soil Microbial Communities to Alter the Biogeochemistry of Arctic Peat Soils,MINERALS,3,3,318,336,2013,,1,,,10.3390/min3030318,N,3,,,,WOS:000342620500004,2075-163X,,2773,2723,
6907,"Fromin, Nathalie; Saby, Nicolas P. A.; Lensi, Robert; Brunet, Didier; Porte, Benjamin; Domenach, Anne-Marie; Roggy, Jean-Christophe",Spatial variability of soil microbial functioning in a tropical rainforest of French Guiana using nested sampling,GEODERMA,197,,98,107,2013,,2,,,10.1016/j.geoderma.2012.12.009,N,3,,,,WOS:000317882700012,0016-7061,,2773,2723,
6908,"Frosch, Torsten; Keiner, Robert; Michalzik, Beate; Fischer, Bernhard; Popp, Juergen",Investigation of Gas Exchange Processes in Peat Bog Ecosystems by Means of Innovative Raman Gas Spectroscopy,ANALYTICAL CHEMISTRY,85,3,1295,1299,2013,,5,,,10.1021/ac3034163,N,3,,,,WOS:000314676100009,0003-2700,,2773,2723,
6909,"Frouz, Jan; Jilkova, Veronika; Cajthaml, Tomas; Pizl, Vaclay; Tajovsky, Karel; Hanel, Ladislav; Buresova, Andrea; Simackova, Hana; Kolarikova, Katerina; Franklin, Jennifer; Nawrot, Jack; Groninger, John W.; Stahl, Peter D.",Soil biota in post-mining sites along a climatic gradient in the USA: Simple communities in shortgrass prairie recover faster than complex communities in tallgrass prairie and forest,SOIL BIOLOGY & BIOCHEMISTRY,67,,212,225,2013,,0,,,10.1016/j.soilbio.2013.08.025,N,3,,,,WOS:000327107700025,0038-0717,,2773,2723,
6910,"Frouz, Jan; Liveckova, Miluse; Albrechtova, Jana; Chronakova, Alica; Cajthaml, Tomas; Pizl, Vaclav; Hanel, Ladislav; Stary, Josef; Baldrian, Petr; Lhotakova, Zuzana; Simackova, Hana; Cepakova, Sarka",Is the effect of trees on soil properties mediated by soil fauna? A case study from post-mining sites,FOREST ECOLOGY AND MANAGEMENT,309,,87,95,2013,,6,,,10.1016/j.foreco.2013.02.013,N,3,,,,WOS:000328526900010,0378-1127,,2773,2723,
6911,"Frunze, N. I.",Total Microbial Biomass and Metabolic State of Microorganisms in a Typical Chernozem of Moldova,EURASIAN SOIL SCIENCE,46,4,413,416,2013,,0,,,10.1134/S1064229313040030,N,3,,,,WOS:000333240600001,1064-2293,,2773,2723,
6912,"Fry, Ellen L.; Manning, Pete; Allen, David G. P.; Hurst, Alex; Everwand, Georg; Rimmler, Martin; Power, Sally A.",Plant Functional Group Composition Modifies the Effects of Precipitation Change on Grassland Ecosystem Function,PLOS ONE,8,2,,,2013,,5,N,Y,10.1371/journal.pone.0057027,N,2,,,,WOS:000315184200203,1932-6203,,2774,2724,
6913,Fu Gang; Shen Zhen-xi; Zhang Xian-zhou; Yu Cheng-qun; Zhou Yu-ting; Li Yun-long; Yang Peng-wan,Response of ecosystem respiration to experimental warming and clipping at daily time scale in an alpine meadow of tibet,JOURNAL OF MOUNTAIN SCIENCE,10,3,455,463,2013,,4,N,Y,10.1007/s11629-013-2360-y,N,2,,,,WOS:000319418700013,1672-6316,,2775,2725,Y
6914,"Fu, Gang; Zhang, Xianzhou; Zhang, Yangjian; Shi, Peili; Li, Yunlong; Zhou, Yuting; Yang, Pengwan; Shen, Zhenxi",Experimental warming does not enhance gross primary production and above-ground biomass in the alpine meadow of Tibet,JOURNAL OF APPLIED REMOTE SENSING,7,,,,2013,,2,N,Y,10.1117/1.JRS.7.073505,N,2,,,,WOS:000324368100001,1931-3195,,2776,2726,
6915,"Fu, Xiaoli; Shao, Mingan; Wei, Xiaorong; Wang, Huimin",Soil respiration as affected by vegetation types in a semiarid region of China,SOIL SCIENCE AND PLANT NUTRITION,59,5,715,726,2013,,0,Y,Y,10.1080/00380768.2013.821935,N,1,,,,WOS:000328108500004,0038-0768,,2777,2727,
6916,"Fujii, Kazumichi; Aoki, Maya; Kitayama, Kanehiro","Reprint of ""Biodegradation of low molecular weight organic acids in rhizosphere soils from a tropical montane rain forest""",SOIL BIOLOGY & BIOCHEMISTRY,56,,3,9,2013,,0,,,10.1016/j.soilbio.2012.10.024,N,3,,,,WOS:000313153600003,0038-0717,,2777,2727,
6917,"Fujii, Kazumichi; Morioka, Kokoro; Hangs, Ryan; Funakawa, Shinya; Kosaki, Takashi; Anderson, Darwin W.","Rapid turnover of organic acids in a Dystric Brunisol under a spruce-lichen forest in northern Saskatchewan, Canada",CANADIAN JOURNAL OF SOIL SCIENCE,93,3,295,304,2013,,0,,,10.4141/CJS52012-108,N,3,,,,WOS:000324791000003,0008-4271,,2777,2727,
6918,"Fujita, Yuki; van Bodegom, Peter M.; Venterink, Harry Olde; Runhaar, Han; Witte, Jan-Philip M.",Towards a proper integration of hydrology in predicting soil nitrogen mineralization rates along natural moisture gradients,SOIL BIOLOGY & BIOCHEMISTRY,58,,302,312,2013,,3,,,10.1016/j.soilbio.2012.12.013,N,4,,,,WOS:000317158300036,0038-0717,,2777,2727,
6919,"Gajda, A. M.; Przewloka, B.; Gawryjolek, K.",Changes in soil quality associated with tillage system applied,INTERNATIONAL AGROPHYSICS,27,2,133,141,2013,,1,,,10.2478/v10247-012-0078-7,N,3,,,,WOS:000318643800003,0236-8722,,2777,2727,
6920,"Ganie, Mumtaz A.; Akhter, Farida; Bhat, M. A.; Malik, A. R.; Junaid, Jan Mohd; Shah, M. Abas; Bhat, Arif Hussain; Bhat, Tauseef A.",Boron - a critical nutrient element for plant growth and productivity with reference to temperate fruits,CURRENT SCIENCE,104,1,76,85,2013,,1,,,,N,4,,,,WOS:000325121300020,0011-3891,,2777,2727,
6921,"Gao, Bing; Ju, Xiaotang; Su, Fang; Gao, Fengbin; Cao, Qingsen; Oenema, Oene; Christie, Peter; Chen, Xinping; Zhang, Fusuo",Comparison of Soil Respiration in Typical Conventional and New Alternative Cereal Cropping Systems on the North China Plain,PLOS ONE,8,11,,,2013,,0,Y,Y,10.1371/journal.pone.0080887,N,1,,,,WOS:000327313100124,1932-6203,,2778,2728,
6922,"Gao, Zhiqiang; Cao, Xiaoming; Gao, Wei",The spatio-temporal responses of the carbon cycle to climate and land use/land cover changes between 1981-2000 in China,FRONTIERS OF EARTH SCIENCE,7,1,92,102,2013,,1,,,10.1007/s11707-012-0335-x,N,3,,,,WOS:000314279400009,2095-0195,,2778,2728,
6923,"Garcia-Orenes, Fuensanta; Morugan-Coronado, Alicia; Zornoza, Raul; Scow, Kate",Changes in Soil Microbial Community Structure Influenced by Agricultural Management Practices in a Mediterranean Agro-Ecosystem,PLOS ONE,8,11,,,2013,,1,,,10.1371/journal.pone.0080522,N,3,,,,WOS:000327308500148,1932-6203,,2778,2728,
6924,"Garcia-Palacios, Pablo; Milla, Ruben; Alvaro-Sanchez, Monica; Martin-Robles, Nieves; Maestro, Melchor",Application of a high-throughput laboratory method to assess litter decomposition rates in multiple-species experiments,SOIL BIOLOGY & BIOCHEMISTRY,57,,929,932,2013,,0,,,10.1016/j.soilbio.2012.09.029,N,3,,,,WOS:000317247100107,0038-0717,,2778,2728,
6925,"Garnett, M. H.; Murray, C.","PROCESSING OF CO2 SAMPLES COLLECTED USING ZEOLITE MOLECULAR SIEVE FOR C-14 ANALYSIS AT THE NERC RADIOCARBON FACILITY (EAST KILBRIDE, UK)",RADIOCARBON,55,2-3,410,415,2013,,1,,,,N,3,,,,WOS:000325752100025,0033-8222,,2778,2728,
6926,"Gavrilenko, E. G.; Ananyeva, N. D.; Makarov, O. A.",Assessment of soil quality in different ecosystems (with soils of Podolsk and Serpukhov districts of Moscow oblast as examples),EURASIAN SOIL SCIENCE,46,12,1241,1252,2013,,0,,,10.1134/S1064229313120041,N,3,,,,WOS:000329296500013,1064-2293,,2778,2728,
6927,"Gazovic, Michal; Forbrich, Inke; Jager, Daniel F.; Kutzbach, Lars; Wille, Christian; Wilmking, Martin",Hydrology-driven ecosystem respiration determines the carbon balance of a boreal peatland,SCIENCE OF THE TOTAL ENVIRONMENT,463,,675,682,2013,,0,N,Y,10.1016/j.scitotenv.2013.06.077,N,2,,,,WOS:000325831200076,0048-9697,,2779,2729,
6928,"Ge, Tida; Chen, Xiaojuan; Yuan, Hongzhao; Li, Baozhen; Zhu, Hanhua; Peng, Peiqin; Li, Kelin; Jones, Davey L.; Wu, Jinshui","Microbial biomass, activity, and community structure in horticultural soils under conventional and organic management strategies",EUROPEAN JOURNAL OF SOIL BIOLOGY,58,,122,128,2013,,1,,,10.1016/j.ejsobi.2013.07.005,N,3,,,,WOS:000324901700019,1164-5563,,2779,2729,
6929,"Ge, Yuan; Priester, John H.; De Werfhorst, Laurie C. Van; Schimel, Joshua P.; Holden, Patricia A.",Potential Mechanisms and Environmental Controls of TiO2 Nanoparticle Effects on Soil Bacterial Communities,ENVIRONMENTAL SCIENCE & TECHNOLOGY,47,24,14411,14417,2013,,1,,,10.1021/es403385c,N,4,,,,WOS:000328796900061,0013-936X,,2779,2729,
6930,"Ge, Zhen-Ming; Kellomaki, Seppo; Peltola, Heli; Zhou, Xiao; Vaisanen, Hannu",Adaptive management to climate change for Norway spruce forests along a regional gradient in Finland,CLIMATIC CHANGE,118,2,275,289,2013,,1,N,Y,10.1007/s10584-012-0656-5,N,2,,,,WOS:000317926800009,0165-0009,,2780,2730,
6931,"Ge, Zhen-Ming; Kellomaki, Seppo; Peltola, Heli; Zhou, Xiao; Vaisanen, Hannu; Strandman, Harri",Impacts of climate change on primary production and carbon sequestration of boreal Norway spruce forests: Finland as a model,CLIMATIC CHANGE,118,2,259,273,2013,,4,,,10.1007/s10584-012-0607-1,N,3,,,,WOS:000317926800008,0165-0009,,2780,2730,
6932,"Ghani, Anwar; Sarathchandra, Upali; Ledgard, Stewart; Dexter, Moira; Lindsey, Stuart",Microbial decomposition of leached or extracted dissolved organic carbon and nitrogen from pasture soils,BIOLOGY AND FERTILITY OF SOILS,49,6,747,755,2013,,1,,,10.1007/s00374-012-0764-4,N,3,,,,WOS:000322006400013,0178-2762,,2780,2730,
6933,"Ghee, Claire; Neilson, Roy; Hallett, Paul D.; Robinson, David; Paterson, Eric",Priming of soil organic matter mineralisation is intrinsically insensitive to temperature,SOIL BIOLOGY & BIOCHEMISTRY,66,,20,28,2013,,3,,,10.1016/j.soilbio.2013.06.020,N,3,,,,WOS:000325665400004,0038-0717,,2780,2730,
6934,"Giammanco, Salvatore; Neri, Marco; Salerno, Giuseppe G.; Caltabiano, Tommaso; Burton, Michael R.; Longo, Vincenza",Evidence for a recent change in the shallow plumbing system of Mt. Etna (Italy): Gas geochemistry and structural data during 2001-2005,JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,251,,90,97,2013,,1,,,10.1016/j.jvolgeores.2012.06.001,N,4,,,,WOS:000316428500009,0377-0273,,2780,2730,
6935,"Giasson, M-A; Ellison, A. M.; Bowden, R. D.; Crill, P. M.; Davidson, E. A.; Drake, J. E.; Frey, S. D.; Hadley, J. L.; Lavine, M.; Melillo, J. M.; Munger, J. W.; Nadelhoffer, K. J.; Nicoll, L.; Ollinger, S. V.; Savage, K. E.; Steudler, P. A.; Tang, J.; Varner, R. K.; Wofsy, S. C.; Foster, D. R.; Finzi, A. C.",Soil respiration in a northeastern US temperate forest: a 22-year synthesis,ECOSPHERE,4,11,,,2013,,0,Y,Y,10.1890/ES13.00183.1,N,1,,,,WOS:000327380900008,2150-8925,,2781,2731,
6936,"Gielen, B.; De Vos, B.; Campioli, M.; Neirynck, J.; Papale, D.; Verstraeten, A.; Ceulemans, R.; Janssens, I. A.",Biometric and eddy covariance-based assessment of decadal carbon sequestration of a temperate Scots pine forest,AGRICULTURAL AND FOREST METEOROLOGY,174,,135,143,2013,,6,N,Y,10.1016/j.agrformet.2013.02.008,N,2,,,,WOS:000318382900010,0168-1923,,2782,2732,
6937,"Giesler, Reiner; Morth, Carl-Magnus; Karlsson, Jan; Lundin, Erik J.; Lyon, Steve W.; Humborg, Christoph",Spatiotemporal variations of pCO(2) and delta C-13-DIC in subarctic streams in northern Sweden,GLOBAL BIOGEOCHEMICAL CYCLES,27,1,176,186,2013,,4,,,10.1002/gbc.20024,N,4,,,,WOS:000318275300017,0886-6236,,2782,2732,
6938,"Gilmanov, Tagir G.; Wylie, Bruce K.; Tieszen, Larry L.; Meyers, Tilden P.; Baron, Vern S.; Bernacchi, Carl J.; Billesbach, David P.; Burba, George G.; Fischer, Marc L.; Glenn, Aaron J.; Hanan, Niall P.; Hatfield, Jerry L.; Heuer, Mark W.; Hollinger, Steven E.; Howard, Daniel M.; Matamala, Roser; Prueger, John H.; Tenuta, Mario; Young, David G.",CO2 uptake and ecophysiological parameters of the grain crops of midcontinent North America: Estimates from flux tower measurements,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,164,,162,175,2013,,4,,,10.1016/j.agee.2012.09.017,N,3,,,,WOS:000315473000015,0167-8809,,2782,2732,
6939,"Ginocchio, R.; Carcamo, V.; Bustamante, E.; Trangolao, E.; de la Fuente, L. M.; Neaman, A.",Efficacy of fresh and air-dried biosolids as amendments for remediation of acidic and metal-polluted soils: A short-term laboratory assay,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,13,4,855,869,2013,,0,,,,N,4,,,,WOS:000334934600008,0718-9516,,2782,2732,
6940,"Giovannini, C.; Garcia-Mina, J. M.; Ciavatta, C.; Marzadori, C.",Effect of organic-complexed superphosphates on microbial biomass and microbial activity of soil,BIOLOGY AND FERTILITY OF SOILS,49,4,395,401,2013,,1,,,10.1007/s00374-012-0731-0,N,4,,,,WOS:000318309900004,0178-2762,,2782,2732,
6941,"Glukhova, T. V.; Vompersky, S. E.; Kovalev, A. G.",Emission of CO2 from the surface of oligotrophic bogs with due account for their microrelief in the southern taiga of European Russia,EURASIAN SOIL SCIENCE,46,12,1172,1181,2013,,0,,Y,10.1134/S1064229314010050,N,1,,,,WOS:000329296500006,1064-2293,,2783,2732,
6942,"Goemoeryova, Erika; Strelcova, Katarina; Skvarenina, Jaroslav; Goemoery, Dusan",Responses of soil microorganisms and water content in forest floor horizons to environmental factors,EUROPEAN JOURNAL OF SOIL BIOLOGY,55,,71,76,2013,,2,,,10.1016/j.ejsobi.2012.12.001,N,3,,,,WOS:000316506800011,1164-5563,,2783,2732,
6943,"Goeransson, Hans; Godbold, Douglas L.; Jones, David L.; Rousk, Johannes",Bacterial growth and respiration responses upon rewetting dry forest soils: Impact of drought-legacy,SOIL BIOLOGY & BIOCHEMISTRY,57,,477,486,2013,,14,N,Y,10.1016/j.soilbio2012.08.031,N,2,,,,WOS:000317247100055,0038-0717,,2784,2733,
6944,"Gomez-Brandon, Maria; Lores, Marta; Dominguez, Jorge",Changes in chemical and microbiological properties of rabbit manure in a continuous-feeding vermicomposting system,BIORESOURCE TECHNOLOGY,128,,310,316,2013,,8,,,10.1016/j.biortech.2012.10.112,N,4,,,,WOS:000315545800044,0960-8524,,2784,2733,
6945,"Gomez-Casanovas, Nuria; Anderson-Teixeira, Kristina; Zeri, Marcelo; Bernacchi, Carl J.; DeLucia, Evan H.",Gap filling strategies and error in estimating annual soil respiration,GLOBAL CHANGE BIOLOGY,19,6,1941,1952,2013,,3,N,Y,10.1111/gcb.12127,N,1,,,,WOS:000318353300025,1354-1013,,2785,2734,
6946,"Gomez-Rey, Maria Xesus; Madeira, Manuel; Coutinho, Joao","Soil C and N dynamics, nutrient leaching and fertility in a pine plantation amended with wood ash under Mediterranean climate",EUROPEAN JOURNAL OF FOREST RESEARCH,132,2,281,295,2013,,0,,,10.1007/s10342-012-0674-x,N,3,,,,WOS:000316020800008,1612-4669,,2785,2734,
